threshold,total_failed_drives,detected_failed_drives,median_lead_time_days_detected,mean_lead_time_days_detected,pct_all_failures_detected_same_day_or_earlier,pct_all_failures_detected_at_least_1_day_early,pct_all_failures_detected_at_least_3_days_early,pct_all_failures_detected_at_least_7_days_early
0.35,324,228,22.5,28.640350877192983,0.7037037037037037,0.6234567901234568,0.5864197530864198,0.5246913580246914
0.7,324,152,17.0,24.56578947368421,0.4691358024691358,0.3950617283950617,0.36728395061728397,0.3271604938271605
0.75,324,149,17.0,24.63758389261745,0.45987654320987653,0.3888888888888889,0.36419753086419754,0.3271604938271605
0.9,324,133,15.0,24.05263157894737,0.4104938271604938,0.345679012345679,0.31790123456790126,0.2839506172839506
