threshold,total_unique_drives,failed_drives,healthy_drives,unique_drives_alerted,drive_alert_rate,failed_drives_detected,failed_drives_missed,healthy_drives_falsely_alerted,healthy_drives_not_alerted,drive_precision,drive_recall,drive_f1,alerts_per_failed_drive_caught
0.35,281192,324,280868,6735,0.02395160602008592,228,96,6507,274361,0.033853006681514475,0.7037037037037037,0.06459838504037399,29.539473684210527
0.7,281192,324,280868,2138,0.007603345756636035,152,172,1986,278882,0.07109448082319925,0.4691358024691358,0.12347684809098293,14.06578947368421
0.75,281192,324,280868,2032,0.0072263791288514605,149,175,1883,278985,0.0733267716535433,0.45987654320987653,0.12648556876061118,13.63758389261745
0.9,281192,324,280868,1519,0.005402002901931776,133,191,1386,279482,0.08755760368663594,0.4104938271604938,0.14432989690721648,11.421052631578947
