model,validation_roc_auc_mean,validation_roc_auc_std,validation_pr_auc_mean,validation_pr_auc_std,train_roc_auc_mean,train_pr_auc_mean,roc_auc_gap_mean,roc_auc_gap_std,pr_auc_gap_mean,pr_auc_gap_std,precision_at_050_mean,precision_at_050_std,recall_at_050_mean,recall_at_050_std,f1_at_050_mean,f1_at_050_std,fit_seconds_mean
XGBoost,0.5545902186349974,0.030145805253877285,0.01135057713201427,0.008316739136307275,0.8756079657773637,0.08248064035961733,0.3210177471423662,0.03171177319734551,0.07113006322760305,0.015354810462906855,0.000756212404090845,0.0002734352887020692,0.35783943132733453,0.05977326192231339,0.0015090163918630936,0.0005449403261028314,78.80019220720006
Logistic Regression,0.8582911743079267,0.0560230315710857,0.006542788595225038,0.0006650613030242985,0.8688062701345171,0.006400661619032172,0.010515095826590538,0.06615139068470441,-0.0001421269761928667,0.0007444183252415966,0.002413375434985159,0.00017076122846891898,0.5240712020953957,0.048484223289803605,0.004804488998213346,0.00033933109372999236,11.786717619599973
Random Forest,0.41393274418957693,0.05997577565322593,0.00020715848854673853,7.05329389993752e-05,0.873501435174185,0.0018860554135762305,0.459568690984608,0.05385830879234772,0.001678896925029492,0.00043290566563012624,0.0003727687052206826,0.0001121180907213346,0.14056343522069328,0.03279182334704358,0.0007433311574006896,0.00022312760507697056,130.80363946979992
