serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,miss_pattern
13R0A07LFVKG,2023-11-27,2023-12-20,10,1,0.3385182318271604,0.3385182318271604,2023-12-20,0.3385182318271604,0.3385182318271604,10,False,0,,False,0,,false_negative,,,0.36148176817283956,missed_even_at_0.35,weak_signal_below_0.35
2003261EDB73,2023-10-03,2023-11-29,11,1,0.34704210934105184,0.34704210934105184,2023-11-29,0.34704210934105184,0.34704210934105184,11,False,0,,False,0,,false_negative,,,0.3529578906589481,missed_even_at_0.35,weak_signal_below_0.35
20H0A087F97G,2023-10-01,2023-11-10,10,1,0.3635744420727479,0.34143896156226433,2023-11-10,0.3635744420727479,0.34143896156226433,10,False,0,,True,1,2023-11-10,false_negative,,0.0,0.33642555792725204,detected_only_at_0.35,moderate_signal_0.35_to_0.60
20H0A13FF97G,2023-10-02,2023-10-30,14,1,0.3341195270929709,0.33388155173745343,2023-10-30,0.3341195270929709,0.33388155173745343,14,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
20W0A0RGF97G,2023-10-01,2023-12-20,28,1,0.5233392404606398,0.523332875651289,2023-12-20,0.5233392404606398,0.523332875651289,28,False,0,,True,28,2023-10-01,false_negative,,80.0,0.1766607595393601,detected_only_at_0.35,moderate_signal_0.35_to_0.60
22321A803710,2023-10-07,2023-10-07,1,1,0.3348234870593261,0.3348234870593261,2023-10-07,0.3348234870593261,0.3348234870593261,1,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,short_history_under_7_days
22331T804912,2023-10-04,2023-10-05,2,1,0.3341195270929709,0.3341195270929709,2023-10-05,0.3341195270929709,0.3341195270929709,2,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,short_history_under_7_days
2AGLY65Y,2023-10-10,2023-11-20,16,1,0.4408161948887267,0.36081326169221806,2023-11-20,0.4408161948887267,0.36081326169221806,16,False,0,,True,5,2023-11-10,false_negative,,10.0,0.25918380511127326,detected_only_at_0.35,moderate_signal_0.35_to_0.60
2AGMK1TY,2023-10-01,2023-10-14,5,1,0.4140485732060822,0.35362430010294477,2023-10-14,0.4140485732060822,0.35362430010294477,5,False,0,,True,1,2023-10-14,false_negative,,0.0,0.2859514267939178,detected_only_at_0.35,short_history_under_7_days
2AGMLUAY,2023-10-02,2023-10-24,12,1,0.6019479373102078,0.563409766857325,2023-10-24,0.6019479373102078,0.563409766857325,12,False,0,,True,12,2023-10-02,false_negative,,22.0,0.09805206268979216,detected_only_at_0.35,near_miss_0.60_to_0.70
2AGMNGUY,2023-10-01,2023-10-26,9,1,0.31438428446962924,0.2934369612916221,2023-10-26,0.31438428446962924,0.2934369612916221,9,False,0,,False,0,,false_negative,,,0.3856157155303707,missed_even_at_0.35,weak_signal_below_0.35
2AGN7XWY,2023-10-03,2023-11-10,18,1,0.3348234870593261,0.3348234870593261,2023-11-10,0.3348234870593261,0.3348234870593261,18,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
2AGNKB9Y,2023-10-10,2023-11-29,14,1,0.34704210934105184,0.34704210934105184,2023-11-29,0.34704210934105184,0.34704210934105184,14,False,0,,False,0,,false_negative,,,0.3529578906589481,missed_even_at_0.35,weak_signal_below_0.35
2BJBGNDN,2023-10-01,2023-11-17,15,1,0.3341195270929709,0.3341195270929708,2023-11-17,0.3341195270929709,0.3341195270929708,15,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
2BK9LUJR,2023-10-03,2023-11-07,11,1,0.3348234870593261,0.3348234870593261,2023-11-07,0.3348234870593261,0.3348234870593261,11,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
2CGRWHSN,2023-10-03,2023-10-10,4,1,0.34245999409712896,0.34245999409712896,2023-10-10,0.34245999409712896,0.34245999409712896,4,False,0,,False,0,,false_negative,,,0.357540005902871,missed_even_at_0.35,short_history_under_7_days
3070A0ANF97G,2023-10-02,2023-10-26,13,1,0.34704210934105184,0.34704210934105184,2023-10-26,0.34704210934105184,0.34704210934105184,13,False,0,,False,0,,false_negative,,,0.3529578906589481,missed_even_at_0.35,weak_signal_below_0.35
40M0A0D1F97G,2023-10-02,2023-10-13,8,1,0.3341195270929709,0.3341195270929709,2023-10-13,0.3341195270929709,0.3341195270929709,8,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
40W0A02GF97G,2023-10-01,2023-11-26,13,1,0.6536005098206936,0.540183845473246,2023-11-26,0.6536005098206936,0.540183845473246,13,False,0,,True,13,2023-10-01,false_negative,,56.0,0.046399490179306335,detected_only_at_0.35,near_miss_0.60_to_0.70
40X0A0EFF97G,2023-10-01,2023-12-21,21,1,0.38142855388771224,0.3645567573219768,2023-12-21,0.38142855388771224,0.3645567573219768,21,False,0,,True,11,2023-11-25,false_negative,,26.0,0.3185714461122877,detected_only_at_0.35,moderate_signal_0.35_to_0.60
43E0A015FVKG,2023-11-01,2023-11-01,1,1,0.3341195270929709,0.3341195270929709,2023-11-01,0.3341195270929709,0.3341195270929709,1,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,short_history_under_7_days
45CHK11VFMYB,2023-10-01,2023-10-12,6,1,0.3348234870593261,0.3348234870593261,2023-10-12,0.3348234870593261,0.3348234870593261,6,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,short_history_under_7_days
5090A10SF97G,2023-10-03,2023-12-15,24,1,0.3882192073295394,0.36405360165612793,2023-12-15,0.3882192073295394,0.36405360165612793,24,False,0,,True,24,2023-10-03,false_negative,,73.0,0.31178079267046055,detected_only_at_0.35,moderate_signal_0.35_to_0.60
5120A01HF97G,2023-10-06,2023-12-04,19,1,0.3385182318271604,0.3385182318271604,2023-12-04,0.3385182318271604,0.3385182318271604,19,False,0,,False,0,,false_negative,,,0.36148176817283956,missed_even_at_0.35,weak_signal_below_0.35
51R0A3RVFVGG,2023-10-09,2023-11-30,12,1,0.3644611506902172,0.34223290296704884,2023-11-30,0.3644611506902172,0.34223290296704884,12,False,0,,True,3,2023-11-26,false_negative,,4.0,0.3355388493097828,detected_only_at_0.35,moderate_signal_0.35_to_0.60
51T0A0MKFVGG,2023-10-01,2023-12-23,27,1,0.3348234870593261,0.3348234870593261,2023-12-23,0.3348234870593261,0.3348234870593261,27,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
52U0A09AFVKG,2023-10-03,2023-10-18,7,1,0.34704210934105184,0.34704210934105184,2023-10-18,0.34704210934105184,0.34704210934105184,7,False,0,,False,0,,false_negative,,,0.3529578906589481,missed_even_at_0.35,weak_signal_below_0.35
5PH9D1ED,2023-10-06,2023-10-11,4,1,0.466014682374427,0.44206787152068194,2023-10-11,0.466014682374427,0.44206787152068194,4,False,0,,True,4,2023-10-06,false_negative,,5.0,0.23398531762557295,detected_only_at_0.35,short_history_under_7_days
